,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
69844,69844,a557,b2336,the usual suspects,jah wobble's invaders of the heart,Jul 7 2017,the navigator,hurray for the riff raff,Mar 10 2017
69845,69845,a558,b2336,the nothing,the last dinosaur,Jul 7 2017,the navigator,hurray for the riff raff,Mar 10 2017
69849,69849,a53,b2336,the way is read,the staves,Dec 1 2017,the navigator,hurray for the riff raff,Mar 10 2017
69860,69860,a582,b2336,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017,the navigator,hurray for the riff raff,Mar 10 2017
69866,69866,a697,b2336,the amazons,the amazons,May 26 2017,the navigator,hurray for the riff raff,Mar 10 2017
69877,69877,a609,b2336,the nashville sound,jason isbell and the 400 unit,Jun 16 2017,the navigator,hurray for the riff raff,Mar 10 2017
69887,69887,a111,b2336,the animal spirits,james holden & the animal spirits,Nov 3 2017,the navigator,hurray for the riff raff,Mar 10 2017
69896,69896,a1147,b2336,after the party,the menzingers,Feb 3 2017,the navigator,hurray for the riff raff,Mar 10 2017
69897,69897,a637,b2336,more fast songs about the apocalypse,moby & the void pacific choir,Jun 16 2017,the navigator,hurray for the riff raff,Mar 10 2017
69909,69909,a149,b2336,the  canyon,the used,Oct 27 2017,the navigator,hurray for the riff raff,Mar 10 2017
69915,69915,a156,b2336,the queen is dead [deluxe edition),the smiths,Oct 20 2017,the navigator,hurray for the riff raff,Mar 10 2017
69927,69927,a696,b2336,diversions vol. 4: the songs and poems of molly drake,the unthanks,May 26 2017,the navigator,hurray for the riff raff,Mar 10 2017
69928,69928,a185,b2336,the wasted years [box set],the jazz butcher,Oct 20 2017,the navigator,hurray for the riff raff,Mar 10 2017
69939,69939,a202,b2336,queens of the breakers,the barr brothers,Oct 13 2017,the navigator,hurray for the riff raff,Mar 10 2017
69946,69946,a213,b2336,the wild,the rural alberta advantage,Oct 13 2017,the navigator,hurray for the riff raff,Mar 10 2017
69947,69947,a726,b2336,the king & i,faith evans and the notorious b.i.g.,May 19 2017,the navigator,hurray for the riff raff,Mar 10 2017
69959,69959,a227,b2336,the weather station,the weather station,Oct 6 2017,the navigator,hurray for the riff raff,Mar 10 2017
69987,69987,a786,b2336,"lovely creatures: the best of nick cave and the bad seeds, 1984-2014 [box set]",nick cave & the bad seeds,May 5 2017,the navigator,hurray for the riff raff,Mar 10 2017
69992,69992,a283,b2336,music for the age of miracles,the clientele,Sep 22 2017,the navigator,hurray for the riff raff,Mar 10 2017
70023,70023,a331,b2336,choir of the mind,emily haines & the soft skeleton,Sep 15 2017,the navigator,hurray for the riff raff,Mar 10 2017
70038,70038,a1937,b2336,fitz and the tantrums,fitz & the tantrums,Jun 10 2016,the navigator,hurray for the riff raff,Mar 10 2017
70051,70051,a890,b2336,love in the 4th dimension,the big moon,Apr 7 2017,the navigator,hurray for the riff raff,Mar 10 2017
70053,70053,a382,b2336,the surfing magazines,the surfing magazines,Sep 8 2017,the navigator,hurray for the riff raff,Mar 10 2017
70056,70056,a388,b2336,the echo of pleasure,the pains of being pure at heart,Sep 1 2017,the navigator,hurray for the riff raff,Mar 10 2017
70057,70057,a389,b2336,the punishment of luxury,orchestral manoeuvres in the dark,Sep 1 2017,the navigator,hurray for the riff raff,Mar 10 2017
70058,70058,a1926,b2336,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,the navigator,hurray for the riff raff,Mar 10 2017
70060,70060,a1105,b2336,the courtneys ii,the courtneys,Feb 17 2017,the navigator,hurray for the riff raff,Mar 10 2017
70080,70080,a421,b2336,dreaming in the non-dream,chris forsyth & the solar motel band,Aug 25 2017,the navigator,hurray for the riff raff,Mar 10 2017
70085,70085,a428,b2336,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,the navigator,hurray for the riff raff,Mar 10 2017
70090,70090,a2377,b2336,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,the navigator,hurray for the riff raff,Mar 10 2017
70091,70091,a947,b2336,the ghost of hope,the residents,Mar 24 2017,the navigator,hurray for the riff raff,Mar 10 2017
70111,70111,a994,b2336,the navigator,hurray for the riff raff,Mar 10 2017,the navigator,hurray for the riff raff,Mar 10 2017
70122,70122,a506,b2336,barefoot in the head,the chris robinson brotherhood,Jul 21 2017,the navigator,hurray for the riff raff,Mar 10 2017
70129,70129,a997,b2338,everybody works,jay som,Mar 10 2017,everybody works,jay som,Mar 10 2017
70149,70149,a992,b2342,semper femina,laura marling,Mar 10 2017,semper femina,laura marling,Mar 10 2017
70350,70350,a839,b2343,death song,the black angels,Apr 21 2017,50 song memoir,the magnetic fields,Mar 10 2017
70441,70441,a993,b2343,50 song memoir,magnetic fields,Mar 10 2017,50 song memoir,the magnetic fields,Mar 10 2017
70483,70483,a31,b2345,you might be smiling now,the just joans,Dec 8 2017,if not now then when,the motels,Mar 10 2017
