,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
713,713,a2567,b44,feed the fire,promise and the monster,Jan 22 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
715,715,a2569,b44,above the prairie,the pines,Jan 22 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
724,724,a534,b44,"the sounds of crenshaw, vol. 1",the pollyseeds,Jul 14 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
736,736,a557,b44,the usual suspects,jah wobble's invaders of the heart,Jul 7 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
737,737,a558,b44,the nothing,the last dinosaur,Jul 7 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
884,884,a283,b44,music for the age of miracles,the clientele,Sep 22 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
913,913,a1866,b44,the soft bounce,beyond the wizards sleeve,Jul 1 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
998,998,a478,b44,power of peace,the isley brothers,Jul 28 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
1008,1008,a2546,b44,here come the rattling trees,the high llamas,Jan 22 2016,the resistance: rise of the runaways,crown the empire,Jul 22 2014
1012,1012,a506,b44,barefoot in the head,the chris robinson brotherhood,Jul 21 2017,the resistance: rise of the runaways,crown the empire,Jul 22 2014
2131,2131,a428,b84,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,museum of love,museum of love,Aug 19 2014
4389,4389,a331,b135,choir of the mind,emily haines & the soft skeleton,Sep 15 2017,the balcony,catfish and the bottlemen,Sept 15 2014
7531,7531,a243,b257,for sale: live at maxwell's 1986,the replacements,Oct 6 2017,at war with reality,at the gates,Oct 28 2014
7799,7799,a2732,b260,it's a holiday soul party,sharon jones & the dap-kings,Oct 30 2015,with a little help from my fwends,the flaming lips,Oct 28 2014
8016,8016,a2814,b263,christine and the queens,christine and the queens,Oct 16 2015,run the jewels 2,run the jewels,Oct 28 2014
8061,8061,a2834,b263,the documentary 2,the game,Oct 9 2015,run the jewels 2,run the jewels,Oct 28 2014
8095,8095,a149,b263,the  canyon,the used,Oct 27 2017,run the jewels 2,run the jewels,Oct 28 2014
8101,8101,a156,b263,the queen is dead [deluxe edition),the smiths,Oct 20 2017,run the jewels 2,run the jewels,Oct 28 2014
8114,8114,a185,b263,the wasted years [box set],the jazz butcher,Oct 20 2017,run the jewels 2,run the jewels,Oct 28 2014
8125,8125,a202,b263,queens of the breakers,the barr brothers,Oct 13 2017,run the jewels 2,run the jewels,Oct 28 2014
8132,8132,a213,b263,the wild,the rural alberta advantage,Oct 13 2017,run the jewels 2,run the jewels,Oct 28 2014
8145,8145,a227,b263,the weather station,the weather station,Oct 6 2017,run the jewels 2,run the jewels,Oct 28 2014
8233,8233,a1398,b263,the olympians,the olympians,Oct 28 2016,run the jewels 2,run the jewels,Oct 28 2014
8254,8254,a2799,b263,the documentary 2.5,the game,Oct 16 2015,run the jewels 2,run the jewels,Oct 28 2014
8258,8258,a1436,b263,mapping the rendezvous,the courteeners,Oct 21 2016,run the jewels 2,run the jewels,Oct 28 2014
8262,8262,a1441,b263,the deaner album,the dean ween group,Oct 21 2016,run the jewels 2,run the jewels,Oct 28 2014
8660,8660,a1351,b283,the early years 1967-1972 [box set],pink floyd,Nov 11 2016,the endless river,pink floyd,Nov 7 2014
9039,9039,a83,b301,diggin in the carts: a collection of pioneering japanese video game music,various artists,Nov 17 2017,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014
9707,9707,a2647,b311,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,the veronicas,the veronicas,Nov 21 2014
9763,9763,a2656,b311,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,the veronicas,the veronicas,Nov 21 2014
9774,9774,a111,b311,the animal spirits,james holden & the animal spirits,Nov 3 2017,the veronicas,the veronicas,Nov 21 2014
9786,9786,a2688,b311,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,the veronicas,the veronicas,Nov 21 2014
9884,9884,a1316,b311,bamboo diner in the rain,the wave pictures,Nov 18 2016,the veronicas,the veronicas,Nov 21 2014
9886,9886,a1319,b311,a very british synthesizer group: the anthology [deluxe edition],the human league,Nov 18 2016,the veronicas,the veronicas,Nov 21 2014
9918,9918,a1368,b311,until the hunter,hope sandoval & the warm inventions,Nov 4 2016,the veronicas,the veronicas,Nov 21 2014
9920,9920,a2672,b311,songs in the dark,the wainwright sisters,Nov 13 2015,the veronicas,the veronicas,Nov 21 2014
9959,9959,a1436,b311,mapping the rendezvous,the courteeners,Oct 21 2016,the veronicas,the veronicas,Nov 21 2014
9963,9963,a1441,b311,the deaner album,the dean ween group,Oct 21 2016,the veronicas,the veronicas,Nov 21 2014
10007,10007,a506,b311,barefoot in the head,the chris robinson brotherhood,Jul 21 2017,the veronicas,the veronicas,Nov 21 2014
10139,10139,a53,b329,the way is read,the staves,Dec 1 2017,talking is hard,walk the moon,Dec 2 2014
10397,10397,a1670,b329,everything is nothing,jah wobble's invaders of the heart,Sep 2 2016,talking is hard,walk the moon,Dec 2 2014
10434,10434,a35,b332,rubba band business: the album,juicy j,Dec 8 2017,you got it all – the album,union j,Dec 8 2014
10631,10631,a2832,b339,try to be hopeful,the spook school,Oct 9 2015,monuments to an elegy,the smashing pumpkins,Dec 9 2014
11115,11115,a4,b359,a day with the homies [ep],panda bear,Jan 12 2018,panda bear meets the grim reaper,panda bear,Jan 13 2015
11120,11120,a2647,b362,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,the wanderings of the avener,the avener,Jan 19 2015
11121,11121,a2567,b362,feed the fire,promise and the monster,Jan 22 2016,the wanderings of the avener,the avener,Jan 19 2015
11123,11123,a2569,b362,above the prairie,the pines,Jan 22 2016,the wanderings of the avener,the avener,Jan 19 2015
11125,11125,a2981,b362,the night creeper,uncle acid and the deadbeats,Sep 4 2015,the wanderings of the avener,the avener,Jan 19 2015
11127,11127,a2573,b362,death of a bachelor,panic! at the disco,Jan 15 2016,the wanderings of the avener,the avener,Jan 19 2015
11130,11130,a2814,b362,christine and the queens,christine and the queens,Oct 16 2015,the wanderings of the avener,the avener,Jan 19 2015
11134,11134,a2900,b362,evermore: the art of duality,the underachievers,Sep 25 2015,the wanderings of the avener,the avener,Jan 19 2015
11143,11143,a2971,b362,the southern surreal,the legendary shack shakers,Sep 11 2015,the wanderings of the avener,the avener,Jan 19 2015
11159,11159,a2572,b362,confessions of a romance novelist,the anchoress,Jan 15 2016,the wanderings of the avener,the avener,Jan 19 2015
11175,11175,a2834,b362,the documentary 2,the game,Oct 9 2015,the wanderings of the avener,the avener,Jan 19 2015
11176,11176,a2656,b362,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,the wanderings of the avener,the avener,Jan 19 2015
11199,11199,a2688,b362,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,the wanderings of the avener,the avener,Jan 19 2015
11237,11237,a1735,b362,of monkees & men,the minus 5,Aug 19 2016,the wanderings of the avener,the avener,Jan 19 2015
11247,11247,a726,b362,the king & i,faith evans and the notorious b.i.g.,May 19 2017,the wanderings of the avener,the avener,Jan 19 2015
11323,11323,a2892,b362,meow the jewels,run the jewels,Sep 25 2015,the wanderings of the avener,the avener,Jan 19 2015
11329,11329,a2973,b362,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,the wanderings of the avener,the avener,Jan 19 2015
11333,11333,a2672,b362,songs in the dark,the wainwright sisters,Nov 13 2015,the wanderings of the avener,the avener,Jan 19 2015
11366,11366,a2964,b362,that's the spirit,bring me the horizon,Sep 11 2015,the wanderings of the avener,the avener,Jan 19 2015
11368,11368,a2799,b362,the documentary 2.5,the game,Oct 16 2015,the wanderings of the avener,the avener,Jan 19 2015
11369,11369,a2969,b362,gone by the dawn,shannon and the clams,Sep 11 2015,the wanderings of the avener,the avener,Jan 19 2015
11416,11416,a2546,b362,here come the rattling trees,the high llamas,Jan 22 2016,the wanderings of the avener,the avener,Jan 19 2015
11461,11461,a2705,b365,vulnicura strings,björk,Nov 6 2015,vulnicura,björk,Jan 20 2015
11473,11473,a2573,b366,death of a bachelor,panic! at the disco,Jan 15 2016,"what a terrible world, what a beautiful world",the decemberists,Jan 20 2015
11505,11505,a2572,b366,confessions of a romance novelist,the anchoress,Jan 15 2016,"what a terrible world, what a beautiful world",the decemberists,Jan 20 2015
11553,11553,a2544,b366,a coliseum complex museum,the besnard lakes,Jan 22 2016,"what a terrible world, what a beautiful world",the decemberists,Jan 20 2015
11568,11568,a2732,b366,it's a holiday soul party,sharon jones & the dap-kings,Oct 30 2015,"what a terrible world, what a beautiful world",the decemberists,Jan 20 2015
11773,11773,a2753,b368,make america psycho again,fall out boy,Oct 30 2015,american beauty/american psycho,fall out boy,Jan 20 2015
11785,11785,a2647,b372,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11786,11786,a2567,b372,feed the fire,promise and the monster,Jan 22 2016,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11788,11788,a2569,b372,above the prairie,the pines,Jan 22 2016,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11799,11799,a2900,b372,evermore: the art of duality,the underachievers,Sep 25 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11809,11809,a2971,b372,the southern surreal,the legendary shack shakers,Sep 11 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11843,11843,a2834,b372,the documentary 2,the game,Oct 9 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11845,11845,a2656,b372,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11869,11869,a2688,b372,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11886,11886,a156,b372,the queen is dead [deluxe edition),the smiths,Oct 20 2017,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11898,11898,a182,b372,the endless shimmering,and so i watch you from afar,Oct 20 2017,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11900,11900,a185,b372,the wasted years [box set],the jazz butcher,Oct 20 2017,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11922,11922,a2777,b372,the color before the sun,coheed and cambria,Oct 16 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
11995,11995,a2892,b372,meow the jewels,run the jewels,Sep 25 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12001,12001,a2973,b372,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12005,12005,a2672,b372,songs in the dark,the wainwright sisters,Nov 13 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12039,12039,a2964,b372,that's the spirit,bring me the horizon,Sep 11 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12041,12041,a2799,b372,the documentary 2.5,the game,Oct 16 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12042,12042,a2969,b372,gone by the dawn,shannon and the clams,Sep 11 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12052,12052,a2981,b372,the night creeper,uncle acid and the deadbeats,Sep 4 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12087,12087,a2814,b372,christine and the queens,christine and the queens,Oct 16 2015,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12089,12089,a2546,b372,here come the rattling trees,the high llamas,Jan 22 2016,spellbound: the collection,siouxsie and the banshees,Jan 20 2015
12218,12218,a1216,b379,modern ruin,frank carter & the rattlesnakes,Jan 20 2017,modern nature,the charlatans,Jan 26 2015
12442,12442,a2699,b393,"the bootleg series, vol. 12: the cutting edge 1965-1966",bob dylan,Nov 6 2015,shadows in the night,bob dylan,Feb 3 2015
12448,12448,a123,b393,"trouble no more: the bootleg series, vol. 13 1979-1981",bob dylan,Nov 3 2017,shadows in the night,bob dylan,Feb 3 2015
12506,12506,a2647,b408,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,the grand experiment,the neal morse band,Feb 10 2015
12511,12511,a2981,b408,the night creeper,uncle acid and the deadbeats,Sep 4 2015,the grand experiment,the neal morse band,Feb 10 2015
12516,12516,a2814,b408,christine and the queens,christine and the queens,Oct 16 2015,the grand experiment,the neal morse band,Feb 10 2015
12520,12520,a2900,b408,evermore: the art of duality,the underachievers,Sep 25 2015,the grand experiment,the neal morse band,Feb 10 2015
12529,12529,a2971,b408,the southern surreal,the legendary shack shakers,Sep 11 2015,the grand experiment,the neal morse band,Feb 10 2015
12561,12561,a2834,b408,the documentary 2,the game,Oct 9 2015,the grand experiment,the neal morse band,Feb 10 2015
12562,12562,a2656,b408,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,the grand experiment,the neal morse band,Feb 10 2015
12582,12582,a1147,b408,after the party,the menzingers,Feb 3 2017,the grand experiment,the neal morse band,Feb 10 2015
12585,12585,a2688,b408,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,the grand experiment,the neal morse band,Feb 10 2015
12686,12686,a2468,b408,wynonna & the big noise,wynonna & the big noise,Feb 12 2016,the grand experiment,the neal morse band,Feb 10 2015
12700,12700,a1926,b408,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,the grand experiment,the neal morse band,Feb 10 2015
12713,12713,a2892,b408,meow the jewels,run the jewels,Sep 25 2015,the grand experiment,the neal morse band,Feb 10 2015
12719,12719,a2973,b408,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,the grand experiment,the neal morse band,Feb 10 2015
12723,12723,a2672,b408,songs in the dark,the wainwright sisters,Nov 13 2015,the grand experiment,the neal morse band,Feb 10 2015
12727,12727,a1937,b408,fitz and the tantrums,fitz & the tantrums,Jun 10 2016,the grand experiment,the neal morse band,Feb 10 2015
12749,12749,a1105,b408,the courtneys ii,the courtneys,Feb 17 2017,the grand experiment,the neal morse band,Feb 10 2015
12757,12757,a2964,b408,that's the spirit,bring me the horizon,Sep 11 2015,the grand experiment,the neal morse band,Feb 10 2015
12759,12759,a2799,b408,the documentary 2.5,the game,Oct 16 2015,the grand experiment,the neal morse band,Feb 10 2015
12760,12760,a2969,b408,gone by the dawn,shannon and the clams,Sep 11 2015,the grand experiment,the neal morse band,Feb 10 2015
12802,12802,a994,b408,the navigator,hurray for the riff raff,Mar 10 2017,the grand experiment,the neal morse band,Feb 10 2015
13062,13062,a2401,b414,"i like it when you sleep, for you are so beautiful yet so unaware of it",the 1975,Feb 26 2016,let it reign,carl barât and the jackals,Feb 16 2015
13520,13520,a2649,b422,hexadic ii,six organs of admittance,Nov 20 2015,hexadic,six organs of admittance,Feb 17 2015
13538,13538,a2974,b425,what the world needs now,public image ltd.,Sep 4 2015,the race for space,public service broadcasting,Feb 23 2015
13541,13541,a1058,b428,sleeping through the war,all them witches,Feb 24 2017,the order of things,all that remains,Feb 24 2015
13565,13565,a2647,b430,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,the door behind the door,the black ryder,Feb 24 2015
13570,13570,a2981,b430,the night creeper,uncle acid and the deadbeats,Sep 4 2015,the door behind the door,the black ryder,Feb 24 2015
13575,13575,a2814,b430,christine and the queens,christine and the queens,Oct 16 2015,the door behind the door,the black ryder,Feb 24 2015
13579,13579,a2900,b430,evermore: the art of duality,the underachievers,Sep 25 2015,the door behind the door,the black ryder,Feb 24 2015
13589,13589,a2971,b430,the southern surreal,the legendary shack shakers,Sep 11 2015,the door behind the door,the black ryder,Feb 24 2015
13624,13624,a2834,b430,the documentary 2,the game,Oct 9 2015,the door behind the door,the black ryder,Feb 24 2015
13625,13625,a2656,b430,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,the door behind the door,the black ryder,Feb 24 2015
13641,13641,a1880,b430,life in the dark,the felice brothers,Jun 24 2016,the door behind the door,the black ryder,Feb 24 2015
13646,13646,a1147,b430,after the party,the menzingers,Feb 3 2017,the door behind the door,the black ryder,Feb 24 2015
13650,13650,a2688,b430,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,the door behind the door,the black ryder,Feb 24 2015
13752,13752,a2468,b430,wynonna & the big noise,wynonna & the big noise,Feb 12 2016,the door behind the door,the black ryder,Feb 24 2015
13778,13778,a2892,b430,meow the jewels,run the jewels,Sep 25 2015,the door behind the door,the black ryder,Feb 24 2015
13785,13785,a2973,b430,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,the door behind the door,the black ryder,Feb 24 2015
13786,13786,a1879,b430,the mystery lights,the mystery lights,Jun 24 2016,the door behind the door,the black ryder,Feb 24 2015
13789,13789,a2672,b430,songs in the dark,the wainwright sisters,Nov 13 2015,the door behind the door,the black ryder,Feb 24 2015
13818,13818,a1105,b430,the courtneys ii,the courtneys,Feb 17 2017,the door behind the door,the black ryder,Feb 24 2015
13825,13825,a2964,b430,that's the spirit,bring me the horizon,Sep 11 2015,the door behind the door,the black ryder,Feb 24 2015
13827,13827,a2799,b430,the documentary 2.5,the game,Oct 16 2015,the door behind the door,the black ryder,Feb 24 2015
13828,13828,a2969,b430,gone by the dawn,shannon and the clams,Sep 11 2015,the door behind the door,the black ryder,Feb 24 2015
13848,13848,a947,b430,the ghost of hope,the residents,Mar 24 2017,the door behind the door,the black ryder,Feb 24 2015
13895,13895,a2671,b431,first comes the night,chris isaak,Nov 13 2015,fan of a fan: the album,chris brown & tyga,Feb 24 2015
13920,13920,a1102,b434,future,future,Feb 17 2017,future brown,future brown,Feb 24 2015
14063,14063,a2647,b457,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,space is still the place,the bright light social hour,Mar 10 2015
14068,14068,a2981,b457,the night creeper,uncle acid and the deadbeats,Sep 4 2015,space is still the place,the bright light social hour,Mar 10 2015
14073,14073,a2814,b457,christine and the queens,christine and the queens,Oct 16 2015,space is still the place,the bright light social hour,Mar 10 2015
14077,14077,a2900,b457,evermore: the art of duality,the underachievers,Sep 25 2015,space is still the place,the bright light social hour,Mar 10 2015
14087,14087,a2971,b457,the southern surreal,the legendary shack shakers,Sep 11 2015,space is still the place,the bright light social hour,Mar 10 2015
14119,14119,a2834,b457,the documentary 2,the game,Oct 9 2015,space is still the place,the bright light social hour,Mar 10 2015
14120,14120,a2656,b457,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,space is still the place,the bright light social hour,Mar 10 2015
14143,14143,a2688,b457,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,space is still the place,the bright light social hour,Mar 10 2015
14224,14224,a2819,b457,still got that hunger,the zombies,Oct 9 2015,space is still the place,the bright light social hour,Mar 10 2015
14268,14268,a2892,b457,meow the jewels,run the jewels,Sep 25 2015,space is still the place,the bright light social hour,Mar 10 2015
14274,14274,a2973,b457,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,space is still the place,the bright light social hour,Mar 10 2015
14278,14278,a2672,b457,songs in the dark,the wainwright sisters,Nov 13 2015,space is still the place,the bright light social hour,Mar 10 2015
14282,14282,a1937,b457,fitz and the tantrums,fitz & the tantrums,Jun 10 2016,space is still the place,the bright light social hour,Mar 10 2015
14302,14302,a1926,b457,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,space is still the place,the bright light social hour,Mar 10 2015
14311,14311,a2964,b457,that's the spirit,bring me the horizon,Sep 11 2015,space is still the place,the bright light social hour,Mar 10 2015
14313,14313,a2799,b457,the documentary 2.5,the game,Oct 16 2015,space is still the place,the bright light social hour,Mar 10 2015
14314,14314,a2969,b457,gone by the dawn,shannon and the clams,Sep 11 2015,space is still the place,the bright light social hour,Mar 10 2015
14333,14333,a2377,b457,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,space is still the place,the bright light social hour,Mar 10 2015
14334,14334,a947,b457,the ghost of hope,the residents,Mar 24 2017,space is still the place,the bright light social hour,Mar 10 2015
14354,14354,a994,b457,the navigator,hurray for the riff raff,Mar 10 2017,space is still the place,the bright light social hour,Mar 10 2015
14355,14355,a996,b457,godless prophets & the migrant flora,darkest hour,Mar 10 2017,space is still the place,the bright light social hour,Mar 10 2015
14930,14930,a2858,b478,all things under heaven,the icarus line,Oct 2 2015,for all my sisters,the cribs,Mar 23 2015
14990,14990,a2955,b478,anthems for doomed youth,the libertines,Sep 11 2015,for all my sisters,the cribs,Mar 23 2015
15058,15058,a2647,b480,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,the diary,the gentle storm,Mar 23 2015
15063,15063,a2981,b480,the night creeper,uncle acid and the deadbeats,Sep 4 2015,the diary,the gentle storm,Mar 23 2015
15068,15068,a2814,b480,christine and the queens,christine and the queens,Oct 16 2015,the diary,the gentle storm,Mar 23 2015
15072,15072,a2900,b480,evermore: the art of duality,the underachievers,Sep 25 2015,the diary,the gentle storm,Mar 23 2015
15081,15081,a2971,b480,the southern surreal,the legendary shack shakers,Sep 11 2015,the diary,the gentle storm,Mar 23 2015
15098,15098,a582,b480,murder of the universe,king gizzard & the lizard wizard,Jun 23 2017,the diary,the gentle storm,Mar 23 2015
15113,15113,a2834,b480,the documentary 2,the game,Oct 9 2015,the diary,the gentle storm,Mar 23 2015
15114,15114,a2656,b480,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,the diary,the gentle storm,Mar 23 2015
15137,15137,a2688,b480,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,the diary,the gentle storm,Mar 23 2015
15261,15261,a2892,b480,meow the jewels,run the jewels,Sep 25 2015,the diary,the gentle storm,Mar 23 2015
15267,15267,a2973,b480,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,the diary,the gentle storm,Mar 23 2015
15271,15271,a2672,b480,songs in the dark,the wainwright sisters,Nov 13 2015,the diary,the gentle storm,Mar 23 2015
15304,15304,a2964,b480,that's the spirit,bring me the horizon,Sep 11 2015,the diary,the gentle storm,Mar 23 2015
15306,15306,a2799,b480,the documentary 2.5,the game,Oct 16 2015,the diary,the gentle storm,Mar 23 2015
15307,15307,a2969,b480,gone by the dawn,shannon and the clams,Sep 11 2015,the diary,the gentle storm,Mar 23 2015
15326,15326,a2377,b480,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,the diary,the gentle storm,Mar 23 2015
15327,15327,a947,b480,the ghost of hope,the residents,Mar 24 2017,the diary,the gentle storm,Mar 23 2015
15347,15347,a994,b480,the navigator,hurray for the riff raff,Mar 10 2017,the diary,the gentle storm,Mar 23 2015
15373,15373,a2298,b481,girl at the end of the world,james,Mar 18 2016,chaos and the calm,james bay,Mar 23 2015
15375,15375,a955,b481,the afterlove,james blunt,Mar 24 2017,chaos and the calm,james bay,Mar 23 2015
15470,15470,a2688,b485,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,if i was,the staves,Mar 23 2015
15664,15664,a2283,b485,one day you will ache like i ache,the body,Mar 25 2016,if i was,the staves,Mar 23 2015
15729,15729,a2647,b495,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,the day is my enemy,the prodigy,Mar 30 2015
15734,15734,a2981,b495,the night creeper,uncle acid and the deadbeats,Sep 4 2015,the day is my enemy,the prodigy,Mar 30 2015
15739,15739,a2814,b495,christine and the queens,christine and the queens,Oct 16 2015,the day is my enemy,the prodigy,Mar 30 2015
15743,15743,a2900,b495,evermore: the art of duality,the underachievers,Sep 25 2015,the day is my enemy,the prodigy,Mar 30 2015
15752,15752,a2971,b495,the southern surreal,the legendary shack shakers,Sep 11 2015,the day is my enemy,the prodigy,Mar 30 2015
15784,15784,a2834,b495,the documentary 2,the game,Oct 9 2015,the day is my enemy,the prodigy,Mar 30 2015
15785,15785,a2656,b495,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,the day is my enemy,the prodigy,Mar 30 2015
15808,15808,a2688,b495,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,the day is my enemy,the prodigy,Mar 30 2015
15932,15932,a2892,b495,meow the jewels,run the jewels,Sep 25 2015,the day is my enemy,the prodigy,Mar 30 2015
15938,15938,a2973,b495,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,the day is my enemy,the prodigy,Mar 30 2015
15942,15942,a2672,b495,songs in the dark,the wainwright sisters,Nov 13 2015,the day is my enemy,the prodigy,Mar 30 2015
15975,15975,a2964,b495,that's the spirit,bring me the horizon,Sep 11 2015,the day is my enemy,the prodigy,Mar 30 2015
15977,15977,a2799,b495,the documentary 2.5,the game,Oct 16 2015,the day is my enemy,the prodigy,Mar 30 2015
15978,15978,a2969,b495,gone by the dawn,shannon and the clams,Sep 11 2015,the day is my enemy,the prodigy,Mar 30 2015
15986,15986,a930,b495,brand new day,the mavericks,Mar 31 2017,the day is my enemy,the prodigy,Mar 30 2015
15997,15997,a2377,b495,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,the day is my enemy,the prodigy,Mar 30 2015
15998,15998,a947,b495,the ghost of hope,the residents,Mar 24 2017,the day is my enemy,the prodigy,Mar 30 2015
16002,16002,a2283,b495,one day you will ache like i ache,the body,Mar 25 2016,the day is my enemy,the prodigy,Mar 30 2015
16018,16018,a994,b495,the navigator,hurray for the riff raff,Mar 10 2017,the day is my enemy,the prodigy,Mar 30 2015
16093,16093,a2736,b504,american man,the yawpers,Oct 30 2015,american candy,the maine,Mar 31 2015
16412,16412,a2647,b513,the complete matrix tapes [box set],the velvet underground,Nov 20 2015,beat the champ,the mountain goats,Apr 3 2015
16417,16417,a2981,b513,the night creeper,uncle acid and the deadbeats,Sep 4 2015,beat the champ,the mountain goats,Apr 3 2015
16422,16422,a2814,b513,christine and the queens,christine and the queens,Oct 16 2015,beat the champ,the mountain goats,Apr 3 2015
16426,16426,a2900,b513,evermore: the art of duality,the underachievers,Sep 25 2015,beat the champ,the mountain goats,Apr 3 2015
16435,16435,a2971,b513,the southern surreal,the legendary shack shakers,Sep 11 2015,beat the champ,the mountain goats,Apr 3 2015
16444,16444,a2238,b513,the  follower,the field,Apr 1 2016,beat the champ,the mountain goats,Apr 3 2015
16468,16468,a2834,b513,the documentary 2,the game,Oct 9 2015,beat the champ,the mountain goats,Apr 3 2015
16469,16469,a2656,b513,matt berry & the maypoles live,matt berry & the maypoles,Nov 20 2015,beat the champ,the mountain goats,Apr 3 2015
16480,16480,a111,b513,the animal spirits,james holden & the animal spirits,Nov 3 2017,beat the champ,the mountain goats,Apr 3 2015
16489,16489,a1147,b513,after the party,the menzingers,Feb 3 2017,beat the champ,the mountain goats,Apr 3 2015
16492,16492,a2688,b513,"songs from the north i, ii & iii",swallow the sun,Nov 13 2015,beat the champ,the mountain goats,Apr 3 2015
16501,16501,a2196,b513,hurt & the merciless,the heavy,Apr 8 2016,beat the champ,the mountain goats,Apr 3 2015
16510,16510,a2208,b513,the peace & truce of future of the left,future of the left,Apr 8 2016,beat the champ,the mountain goats,Apr 3 2015
16577,16577,a2236,b513,the  wilderness,explosions in the sky,Apr 1 2016,beat the champ,the mountain goats,Apr 3 2015
16616,16616,a2892,b513,meow the jewels,run the jewels,Sep 25 2015,beat the champ,the mountain goats,Apr 3 2015
16622,16622,a2973,b513,alone & unreal: the best of the clientele [deluxe edition],the clientele,Sep 4 2015,beat the champ,the mountain goats,Apr 3 2015
16626,16626,a2672,b513,songs in the dark,the wainwright sisters,Nov 13 2015,beat the champ,the mountain goats,Apr 3 2015
16643,16643,a890,b513,love in the 4th dimension,the big moon,Apr 7 2017,beat the champ,the mountain goats,Apr 3 2015
16659,16659,a2964,b513,that's the spirit,bring me the horizon,Sep 11 2015,beat the champ,the mountain goats,Apr 3 2015
